danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.745,0.568,0,-8.332,1,0.164,0.000756,0.0,0.159,0.493,144.141,audio_features,19UUPNx5jccGgQ2GCIZkww,spotify:track:19UUPNx5jccGgQ2GCIZkww,https://api.spotify.com/v1/tracks/19UUPNx5jccGgQ2GCIZkww,https://api.spotify.com/v1/audio-analysis/19UUPNx5jccGgQ2GCIZkww,263240,4
0.734,0.892,2,-1.856,1,0.125,0.0648,0.0,0.58,0.605,138.031,audio_features,3Jv1XgMPVjdN5xGfnRJ20s,spotify:track:3Jv1XgMPVjdN5xGfnRJ20s,https://api.spotify.com/v1/tracks/3Jv1XgMPVjdN5xGfnRJ20s,https://api.spotify.com/v1/audio-analysis/3Jv1XgMPVjdN5xGfnRJ20s,303533,4
0.725,0.446,4,-8.958,0,0.0287,0.85,0.243,0.107,0.311,90.024,audio_features,0So2sgVa8aJiARPl2P29u2,spotify:track:0So2sgVa8aJiARPl2P29u2,https://api.spotify.com/v1/tracks/0So2sgVa8aJiARPl2P29u2,https://api.spotify.com/v1/audio-analysis/0So2sgVa8aJiARPl2P29u2,187333,4
0.63,0.724,2,-5.543,1,0.105,0.0138,6.92e-05,0.196,0.237,143.024,audio_features,0fIffclhgJC5h8AdMMVvkp,spotify:track:0fIffclhgJC5h8AdMMVvkp,https://api.spotify.com/v1/tracks/0fIffclhgJC5h8AdMMVvkp,https://api.spotify.com/v1/audio-analysis/0fIffclhgJC5h8AdMMVvkp,214960,4
0.684,0.62,10,-9.029,1,0.188,0.0541,0.0,0.142,0.773,159.893,audio_features,1EG6y4KL5c0T5UAT41d7VH,spotify:track:1EG6y4KL5c0T5UAT41d7VH,https://api.spotify.com/v1/tracks/1EG6y4KL5c0T5UAT41d7VH,https://api.spotify.com/v1/audio-analysis/1EG6y4KL5c0T5UAT41d7VH,156813,4
0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,audio_features,25zlnOAzbVoOzIeXSvQFf1,spotify:track:25zlnOAzbVoOzIeXSvQFf1,https://api.spotify.com/v1/tracks/25zlnOAzbVoOzIeXSvQFf1,https://api.spotify.com/v1/audio-analysis/25zlnOAzbVoOzIeXSvQFf1,164580,4
0.891,0.67,0,-7.256,1,0.135,0.203,0.00273,0.11,0.938,128.046,audio_features,0widrZ6KVNuIPhbM1rWPDR,spotify:track:0widrZ6KVNuIPhbM1rWPDR,https://api.spotify.com/v1/tracks/0widrZ6KVNuIPhbM1rWPDR,https://api.spotify.com/v1/audio-analysis/0widrZ6KVNuIPhbM1rWPDR,184222,4
0.891,0.67,0,-7.256,1,0.135,0.203,0.00273,0.11,0.938,128.046,audio_features,3cIjeDpRUFiKU5tDXEY7Aw,spotify:track:3cIjeDpRUFiKU5tDXEY7Aw,https://api.spotify.com/v1/tracks/3cIjeDpRUFiKU5tDXEY7Aw,https://api.spotify.com/v1/audio-analysis/3cIjeDpRUFiKU5tDXEY7Aw,184222,4
0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,audio_features,5rZlwNFl01HqLWBQGryKSm,spotify:track:5rZlwNFl01HqLWBQGryKSm,https://api.spotify.com/v1/tracks/5rZlwNFl01HqLWBQGryKSm,https://api.spotify.com/v1/audio-analysis/5rZlwNFl01HqLWBQGryKSm,213333,4
0.831,0.715,10,-5.121,0,0.251,0.0354,0.0,0.273,0.443,135.98,audio_features,6mSJEqkgiBMtqZSXSMvb4s,spotify:track:6mSJEqkgiBMtqZSXSMvb4s,https://api.spotify.com/v1/tracks/6mSJEqkgiBMtqZSXSMvb4s,https://api.spotify.com/v1/audio-analysis/6mSJEqkgiBMtqZSXSMvb4s,200750,4
0.464,0.558,1,-6.973,1,0.289,0.00275,0.000275,0.223,0.346,158.881,audio_features,0VOMBffX1llDu37yQUt3u3,spotify:track:0VOMBffX1llDu37yQUt3u3,https://api.spotify.com/v1/tracks/0VOMBffX1llDu37yQUt3u3,https://api.spotify.com/v1/audio-analysis/0VOMBffX1llDu37yQUt3u3,195197,4
0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,audio_features,0PvFJmanyNQMseIFrU708S,spotify:track:0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/tracks/0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/audio-analysis/0PvFJmanyNQMseIFrU708S,190476,4
0.659,0.611,1,-7.616,1,0.344,0.015,0.0,0.0915,0.385,164.021,audio_features,7zlbWcAnL2pIGsGhRswUgK,spotify:track:7zlbWcAnL2pIGsGhRswUgK,https://api.spotify.com/v1/tracks/7zlbWcAnL2pIGsGhRswUgK,https://api.spotify.com/v1/audio-analysis/7zlbWcAnL2pIGsGhRswUgK,147805,4
0.912,0.673,2,-8.91,1,0.109,0.0995,0.0,0.103,0.123,120.157,audio_features,25G8NNFBnjXgWCGtyPa1Ax,spotify:track:25G8NNFBnjXgWCGtyPa1Ax,https://api.spotify.com/v1/tracks/25G8NNFBnjXgWCGtyPa1Ax,https://api.spotify.com/v1/audio-analysis/25G8NNFBnjXgWCGtyPa1Ax,228160,4
0.706,0.861,11,-6.684,1,0.154,0.0341,0.0,0.127,0.923,119.946,audio_features,0Jc8qF1mUPo1A96HE9QxZz,spotify:track:0Jc8qF1mUPo1A96HE9QxZz,https://api.spotify.com/v1/tracks/0Jc8qF1mUPo1A96HE9QxZz,https://api.spotify.com/v1/audio-analysis/0Jc8qF1mUPo1A96HE9QxZz,238427,4
0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000,4
0.622,0.0904,9,-24.54,1,0.0583,0.993,0.897,0.0886,0.655,120.325,audio_features,5rpkYHBqreIuzSVrYWcNa1,spotify:track:5rpkYHBqreIuzSVrYWcNa1,https://api.spotify.com/v1/tracks/5rpkYHBqreIuzSVrYWcNa1,https://api.spotify.com/v1/audio-analysis/5rpkYHBqreIuzSVrYWcNa1,89613,4
0.575,0.446,4,-7.802,0,0.0296,0.247,0.00567,0.137,0.259,68.985,audio_features,3ApAsbQP7d5GlFwwdExaTY,spotify:track:3ApAsbQP7d5GlFwwdExaTY,https://api.spotify.com/v1/tracks/3ApAsbQP7d5GlFwwdExaTY,https://api.spotify.com/v1/audio-analysis/3ApAsbQP7d5GlFwwdExaTY,262540,4
0.741,0.599,1,-6.672,0,0.419,0.00961,0.0,0.785,0.276,139.891,audio_features,1jDbQz6tr52WgScCTXMnaN,spotify:track:1jDbQz6tr52WgScCTXMnaN,https://api.spotify.com/v1/tracks/1jDbQz6tr52WgScCTXMnaN,https://api.spotify.com/v1/audio-analysis/1jDbQz6tr52WgScCTXMnaN,227474,4
0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,audio_features,5mPSyjLatqB00IkPqRlbTE,spotify:track:5mPSyjLatqB00IkPqRlbTE,https://api.spotify.com/v1/tracks/5mPSyjLatqB00IkPqRlbTE,https://api.spotify.com/v1/audio-analysis/5mPSyjLatqB00IkPqRlbTE,212947,4
0.741,0.599,1,-6.672,0,0.419,0.00961,0.0,0.785,0.276,139.891,audio_features,61N12G2IDag927XDCmMDr8,spotify:track:61N12G2IDag927XDCmMDr8,https://api.spotify.com/v1/tracks/61N12G2IDag927XDCmMDr8,https://api.spotify.com/v1/audio-analysis/61N12G2IDag927XDCmMDr8,227474,4
0.816,0.722,10,-4.402,0,0.343,0.0746,2.18e-06,0.357,0.906,103.937,audio_features,4JYFFgmy2ZZWvhCh8aZbjP,spotify:track:4JYFFgmy2ZZWvhCh8aZbjP,https://api.spotify.com/v1/tracks/4JYFFgmy2ZZWvhCh8aZbjP,https://api.spotify.com/v1/audio-analysis/4JYFFgmy2ZZWvhCh8aZbjP,152384,4
0.526,0.0187,0,-24.688,1,0.0995,0.994,0.956,0.0893,0.396,146.862,audio_features,7amwRp4KIwmjbfGYpRzqjl,spotify:track:7amwRp4KIwmjbfGYpRzqjl,https://api.spotify.com/v1/tracks/7amwRp4KIwmjbfGYpRzqjl,https://api.spotify.com/v1/audio-analysis/7amwRp4KIwmjbfGYpRzqjl,98000,3
0.588,0.484,8,-7.058,0,0.153,0.0219,0.0,0.156,0.337,161.178,audio_features,5KzobobnQb7UZXKOUT249o,spotify:track:5KzobobnQb7UZXKOUT249o,https://api.spotify.com/v1/tracks/5KzobobnQb7UZXKOUT249o,https://api.spotify.com/v1/audio-analysis/5KzobobnQb7UZXKOUT249o,109430,4
0.767,0.419,9,-3.011,0,0.0369,0.00895,0.0,0.0521,0.547,122.963,audio_features,7vGRXiYWFk6NjUnsNjQJQd,spotify:track:7vGRXiYWFk6NjUnsNjQJQd,https://api.spotify.com/v1/tracks/7vGRXiYWFk6NjUnsNjQJQd,https://api.spotify.com/v1/audio-analysis/7vGRXiYWFk6NjUnsNjQJQd,265333,4
0.658,0.76,7,-6.509,1,0.0322,0.0388,0.0,0.127,0.534,121.973,audio_features,6QJbjDtSrVgDijIQ34l6Dx,spotify:track:6QJbjDtSrVgDijIQ34l6Dx,https://api.spotify.com/v1/tracks/6QJbjDtSrVgDijIQ34l6Dx,https://api.spotify.com/v1/audio-analysis/6QJbjDtSrVgDijIQ34l6Dx,197336,4
0.872,0.737,9,-7.235,1,0.408,0.0993,0.0,0.221,0.282,125.995,audio_features,3OwYYkWrCGzZkQm4kHk1kO,spotify:track:3OwYYkWrCGzZkQm4kHk1kO,https://api.spotify.com/v1/tracks/3OwYYkWrCGzZkQm4kHk1kO,https://api.spotify.com/v1/audio-analysis/3OwYYkWrCGzZkQm4kHk1kO,126968,4
0.719,0.788,9,-6.428,1,0.0284,0.023,0.0,0.0918,0.751,133.58,audio_features,4FXSEdmbbeGmPIQltH27C8,spotify:track:4FXSEdmbbeGmPIQltH27C8,https://api.spotify.com/v1/tracks/4FXSEdmbbeGmPIQltH27C8,https://api.spotify.com/v1/audio-analysis/4FXSEdmbbeGmPIQltH27C8,151867,4
0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,audio_features,1jaTQ3nqY3oAAYyCTbIvnM,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,https://api.spotify.com/v1/tracks/1jaTQ3nqY3oAAYyCTbIvnM,https://api.spotify.com/v1/audio-analysis/1jaTQ3nqY3oAAYyCTbIvnM,139741,4
0.355,0.192,9,-13.383,1,0.0326,0.827,0.118,0.115,0.168,94.04,audio_features,1p5yBB0npy3cdhaML7Crvf,spotify:track:1p5yBB0npy3cdhaML7Crvf,https://api.spotify.com/v1/tracks/1p5yBB0npy3cdhaML7Crvf,https://api.spotify.com/v1/audio-analysis/1p5yBB0npy3cdhaML7Crvf,769920,3
0.866,0.759,11,-6.55,0,0.221,0.047,0.0,0.102,0.762,104.997,audio_features,7ciVVd4JFgUb5D38mMCkIA,spotify:track:7ciVVd4JFgUb5D38mMCkIA,https://api.spotify.com/v1/tracks/7ciVVd4JFgUb5D38mMCkIA,https://api.spotify.com/v1/audio-analysis/7ciVVd4JFgUb5D38mMCkIA,178286,4
0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,audio_features,1TE8AAk9koG0UJco6ZAUfx,spotify:track:1TE8AAk9koG0UJco6ZAUfx,https://api.spotify.com/v1/tracks/1TE8AAk9koG0UJco6ZAUfx,https://api.spotify.com/v1/audio-analysis/1TE8AAk9koG0UJco6ZAUfx,207541,3
0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,audio_features,6n9yCXvLhnYMgJIiIcMu7D,spotify:track:6n9yCXvLhnYMgJIiIcMu7D,https://api.spotify.com/v1/tracks/6n9yCXvLhnYMgJIiIcMu7D,https://api.spotify.com/v1/audio-analysis/6n9yCXvLhnYMgJIiIcMu7D,252040,4
0.601,0.532,10,-9.119,1,0.0286,0.433,5.95e-06,0.0925,0.342,136.576,audio_features,3gdewACMIVMEWVbyb8O9sY,spotify:track:3gdewACMIVMEWVbyb8O9sY,https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY,https://api.spotify.com/v1/audio-analysis/3gdewACMIVMEWVbyb8O9sY,281613,4
0.585,0.52,5,-6.136,0,0.0713,0.124,7.75e-05,0.131,0.129,159.798,audio_features,0e7ipj03S05BNilyu5bRzt,spotify:track:0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,218147,4
0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,audio_features,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,267267,4
0.674,0.707,7,-5.26,0,0.0442,0.534,1.24e-06,0.0752,0.958,175.294,audio_features,50KucaDoVIZ6Uhyt52gNbQ,spotify:track:50KucaDoVIZ6Uhyt52gNbQ,https://api.spotify.com/v1/tracks/50KucaDoVIZ6Uhyt52gNbQ,https://api.spotify.com/v1/audio-analysis/50KucaDoVIZ6Uhyt52gNbQ,167131,5
0.761,0.658,11,-7.188,1,0.0429,0.292,1.55e-06,0.137,0.895,125.036,audio_features,6YOfGIE6iFxC7G8OlGGvzW,spotify:track:6YOfGIE6iFxC7G8OlGGvzW,https://api.spotify.com/v1/tracks/6YOfGIE6iFxC7G8OlGGvzW,https://api.spotify.com/v1/audio-analysis/6YOfGIE6iFxC7G8OlGGvzW,168677,3
0.328,0.969,5,-3.591,1,0.121,0.0082,0.926,0.224,0.322,97.417,audio_features,1qzY5ylnKRI3RzkMfEfBcb,spotify:track:1qzY5ylnKRI3RzkMfEfBcb,https://api.spotify.com/v1/tracks/1qzY5ylnKRI3RzkMfEfBcb,https://api.spotify.com/v1/audio-analysis/1qzY5ylnKRI3RzkMfEfBcb,164861,4
0.695,0.582,4,-11.35,1,0.0651,0.297,0.0,0.123,0.892,122.433,audio_features,1orVKbp6vqtfAPOmvRofVq,spotify:track:1orVKbp6vqtfAPOmvRofVq,https://api.spotify.com/v1/tracks/1orVKbp6vqtfAPOmvRofVq,https://api.spotify.com/v1/audio-analysis/1orVKbp6vqtfAPOmvRofVq,187067,4
0.592,0.882,8,-8.315,1,0.0468,0.00884,0.0155,0.0506,0.442,92.157,audio_features,2Q5wSOwq6BDSu7sSVMNrtT,spotify:track:2Q5wSOwq6BDSu7sSVMNrtT,https://api.spotify.com/v1/tracks/2Q5wSOwq6BDSu7sSVMNrtT,https://api.spotify.com/v1/audio-analysis/2Q5wSOwq6BDSu7sSVMNrtT,409400,4
0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,audio_features,7oOOI85fVQvVnK5ynNMdW7,spotify:track:7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,220627,4
0.449,0.296,0,-12.608,1,0.0361,0.892,0.000755,0.892,0.139,139.828,audio_features,20dkebBtPR4AJ8vVos41Gw,spotify:track:20dkebBtPR4AJ8vVos41Gw,https://api.spotify.com/v1/tracks/20dkebBtPR4AJ8vVos41Gw,https://api.spotify.com/v1/audio-analysis/20dkebBtPR4AJ8vVos41Gw,194813,3
0.664,0.845,4,-6.115,0,0.0462,0.181,0.0,0.267,0.357,96.005,audio_features,45sDIKapDyxPl307QpEAwl,spotify:track:45sDIKapDyxPl307QpEAwl,https://api.spotify.com/v1/tracks/45sDIKapDyxPl307QpEAwl,https://api.spotify.com/v1/audio-analysis/45sDIKapDyxPl307QpEAwl,211253,4
0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4
0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,audio_features,58XWGx7KNNkKneHdprcprX,spotify:track:58XWGx7KNNkKneHdprcprX,https://api.spotify.com/v1/tracks/58XWGx7KNNkKneHdprcprX,https://api.spotify.com/v1/audio-analysis/58XWGx7KNNkKneHdprcprX,252493,4
0.621,0.913,0,-3.352,1,0.0385,0.0477,0.0,0.314,0.679,144.073,audio_features,05tlUh0E6IFks9sCQguQKN,spotify:track:05tlUh0E6IFks9sCQguQKN,https://api.spotify.com/v1/tracks/05tlUh0E6IFks9sCQguQKN,https://api.spotify.com/v1/audio-analysis/05tlUh0E6IFks9sCQguQKN,255493,4
0.549,0.673,11,-5.373,1,0.0296,0.0763,0.000231,0.331,0.923,156.814,audio_features,5QSiHPOYNCmpbwwMQyOGA6,spotify:track:5QSiHPOYNCmpbwwMQyOGA6,https://api.spotify.com/v1/tracks/5QSiHPOYNCmpbwwMQyOGA6,https://api.spotify.com/v1/audio-analysis/5QSiHPOYNCmpbwwMQyOGA6,160027,4
0.71,0.797,4,-3.006,0,0.0583,0.409,0.0,0.16,0.849,94.998,audio_features,6pWzCKTrKrwbUPzY8RLCoP,spotify:track:6pWzCKTrKrwbUPzY8RLCoP,https://api.spotify.com/v1/tracks/6pWzCKTrKrwbUPzY8RLCoP,https://api.spotify.com/v1/audio-analysis/6pWzCKTrKrwbUPzY8RLCoP,209120,4
0.673,0.571,1,-7.631,1,0.0488,0.0737,0.0,0.117,0.042,141.957,audio_features,7sdHMJvhKib3ReVPsZFbrf,spotify:track:7sdHMJvhKib3ReVPsZFbrf,https://api.spotify.com/v1/tracks/7sdHMJvhKib3ReVPsZFbrf,https://api.spotify.com/v1/audio-analysis/7sdHMJvhKib3ReVPsZFbrf,148808,4
0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885,audio_features,56KqaFSGTb7ifpt16t5Y1N,spotify:track:56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/tracks/56KqaFSGTb7ifpt16t5Y1N,https://api.spotify.com/v1/audio-analysis/56KqaFSGTb7ifpt16t5Y1N,222427,4
0.654,0.929,1,-5.906,1,0.0998,0.0474,0.0,0.0538,0.902,144.769,audio_features,6KTv0Z8BmVqM7DPxbGzpVC,spotify:track:6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/tracks/6KTv0Z8BmVqM7DPxbGzpVC,https://api.spotify.com/v1/audio-analysis/6KTv0Z8BmVqM7DPxbGzpVC,168840,4
0.531,0.972,0,-2.911,1,0.0931,0.00038,0.00407,0.11,0.655,74.914,audio_features,5jhY1n1cTKSxx8lEujMcAS,spotify:track:5jhY1n1cTKSxx8lEujMcAS,https://api.spotify.com/v1/tracks/5jhY1n1cTKSxx8lEujMcAS,https://api.spotify.com/v1/audio-analysis/5jhY1n1cTKSxx8lEujMcAS,194341,4
0.455,0.437,4,-11.411,1,0.0278,0.314,0.0,0.501,0.724,81.396,audio_features,1ne9wOtDF2jM6Cm8WBkaER,spotify:track:1ne9wOtDF2jM6Cm8WBkaER,https://api.spotify.com/v1/tracks/1ne9wOtDF2jM6Cm8WBkaER,https://api.spotify.com/v1/audio-analysis/1ne9wOtDF2jM6Cm8WBkaER,283640,4
0.637,0.725,5,-5.073,1,0.0333,0.0702,0.00438,0.203,0.415,92.99,audio_features,0qvlhVNm7L5IWabWF5hlEL,spotify:track:0qvlhVNm7L5IWabWF5hlEL,https://api.spotify.com/v1/tracks/0qvlhVNm7L5IWabWF5hlEL,https://api.spotify.com/v1/audio-analysis/0qvlhVNm7L5IWabWF5hlEL,274733,4
