id,name,artists,release_date,language,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3GNwjECqpIScLWslazEJ4c,Jazzie Robinson,Mellow Fellow,2017-07-19,AR,0.682,0.308,3,-15.458,1,0.0428,0.454,0.926,0.11,0.866,90.437,audio_features,spotify:track:3GNwjECqpIScLWslazEJ4c,https://api.spotify.com/v1/tracks/3GNwjECqpIScLWslazEJ4c,https://api.spotify.com/v1/audio-analysis/3GNwjECqpIScLWslazEJ4c,69172,4
4JsFiWQgbHAERpa7k6Plsc,Jazz,"Roni Size, Reprazent",1997-05-23,AR,0.743,0.599,6,-5.902,0,0.0688,0.0209,0.767,0.104,0.366,159.8,audio_features,spotify:track:4JsFiWQgbHAERpa7k6Plsc,https://api.spotify.com/v1/tracks/4JsFiWQgbHAERpa7k6Plsc,https://api.spotify.com/v1/audio-analysis/4JsFiWQgbHAERpa7k6Plsc,363400,4
3LOi1V051Obp9hHRgAC0JU,Jazz Suite No. 2: VI. Waltz II,"Dmitri Shostakovich, Royal Concertgebouw Orchestra, Riccardo Chailly",1992-12-01,AR,0.179,0.179,0,-17.838,0,0.0319,0.975,0.889,0.0758,0.432,185.851,audio_features,spotify:track:3LOi1V051Obp9hHRgAC0JU,https://api.spotify.com/v1/tracks/3LOi1V051Obp9hHRgAC0JU,https://api.spotify.com/v1/audio-analysis/3LOi1V051Obp9hHRgAC0JU,225760,3
14RIOUO6Eb8NmwX8BeVMpm,Jazz,"Bobby Hutcherson, Harold Land",1971-05-01,AR,0.443,0.682,2,-9.501,0,0.0302,0.869,0.00576,0.162,0.62,112.16,audio_features,spotify:track:14RIOUO6Eb8NmwX8BeVMpm,https://api.spotify.com/v1/tracks/14RIOUO6Eb8NmwX8BeVMpm,https://api.spotify.com/v1/audio-analysis/14RIOUO6Eb8NmwX8BeVMpm,326333,4
2wHvE5GdYhuTOAqPg4r0w4,Jazzman,Carole King,1974-09-01,AR,0.576,0.657,5,-10.484,1,0.0297,0.227,0.000909,0.231,0.812,118.354,audio_features,spotify:track:2wHvE5GdYhuTOAqPg4r0w4,https://api.spotify.com/v1/tracks/2wHvE5GdYhuTOAqPg4r0w4,https://api.spotify.com/v1/audio-analysis/2wHvE5GdYhuTOAqPg4r0w4,223440,4
7FkT7jbZbvoNxjFq8qc0hL,Jazz,Amherst,2016-03-12,AR,0.776,0.915,9,-7.94,0,0.0678,0.00203,0.272,0.0654,0.742,125.048,audio_features,spotify:track:7FkT7jbZbvoNxjFq8qc0hL,https://api.spotify.com/v1/tracks/7FkT7jbZbvoNxjFq8qc0hL,https://api.spotify.com/v1/audio-analysis/7FkT7jbZbvoNxjFq8qc0hL,138656,4
1ACFweuuvf6MHtptObgreR,Giving Me,Jazzy,2023-03-10,AR,0.736,0.647,7,-9.257,0,0.106,0.315,0.000137,0.139,0.499,127.065,audio_features,spotify:track:1ACFweuuvf6MHtptObgreR,https://api.spotify.com/v1/tracks/1ACFweuuvf6MHtptObgreR,https://api.spotify.com/v1/audio-analysis/1ACFweuuvf6MHtptObgreR,169000,4
5DkMNEwmfu8eiYJkjKkpBW,Jazz,Burke Graham,2023-06-20,AR,0.62,0.506,11,-8.812,0,0.489,0.754,0.0,0.18,0.696,144.537,audio_features,spotify:track:5DkMNEwmfu8eiYJkjKkpBW,https://api.spotify.com/v1/tracks/5DkMNEwmfu8eiYJkjKkpBW,https://api.spotify.com/v1/audio-analysis/5DkMNEwmfu8eiYJkjKkpBW,227005,4
2szpAFtTaI7xzp5x764Rpr,jazz prism,Knowsum,2024-02-20,AR,0.778,0.201,1,-11.39,0,0.104,0.511,0.857,0.143,0.58,84.025,audio_features,spotify:track:2szpAFtTaI7xzp5x764Rpr,https://api.spotify.com/v1/tracks/2szpAFtTaI7xzp5x764Rpr,https://api.spotify.com/v1/audio-analysis/2szpAFtTaI7xzp5x764Rpr,98036,4
77oGPqxT7yDZ5OCRmR863C,Classical Dragon (feat. Tim Henson),"Marcin, Tim Henson",2024-06-07,AR,0.682,0.795,4,-5.495,0,0.037,0.0615,0.469,0.103,0.208,116.965,audio_features,spotify:track:77oGPqxT7yDZ5OCRmR863C,https://api.spotify.com/v1/tracks/77oGPqxT7yDZ5OCRmR863C,https://api.spotify.com/v1/audio-analysis/77oGPqxT7yDZ5OCRmR863C,198160,4
4DlGLD32K7shuL8ub067DL,Classical,Vampire Weekend,2024-04-05,AR,0.333,0.766,0,-3.484,1,0.0364,0.0614,0.000728,0.359,0.416,111.063,audio_features,spotify:track:4DlGLD32K7shuL8ub067DL,https://api.spotify.com/v1/tracks/4DlGLD32K7shuL8ub067DL,https://api.spotify.com/v1/audio-analysis/4DlGLD32K7shuL8ub067DL,259947,4
1cmigB9I6IRpFqjIbzvSQB,"Suite bergamasque, L. 75: III. Clair de lune","Claude Debussy, Alice Sara Ott",2018-07-27,AR,0.32,0.00501,1,-33.366,1,0.0455,0.993,0.919,0.0618,0.0383,68.947,audio_features,spotify:track:1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,294960,5
