track_id,name,artist,album,release_date,energy,valence,tempo,danceability,language,id,artists,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,type,uri,track_href,analysis_url,duration_ms,time_signature
,Pop like this Pt. 2,,,2024-05-29,0.461,0.48,100.001,0.842,AR,2Ct0MnmqHDvjLqpi5gxcSM,prodbycpkshawn,1.0,-5.189,1.0,0.0675,0.000624,0.623,0.0545,audio_features,spotify:track:2Ct0MnmqHDvjLqpi5gxcSM,https://api.spotify.com/v1/tracks/2Ct0MnmqHDvjLqpi5gxcSM,https://api.spotify.com/v1/audio-analysis/2Ct0MnmqHDvjLqpi5gxcSM,99657.0,4.0
,Pop Out (feat. Lil Tjay),,,2019-06-07,0.639,0.261,168.112,0.772,AR,6uFn47ACjqYkc0jADwEdj1,"Polo G, Lil Tjay",1.0,-7.119,1.0,0.467,0.15,0.0,0.0698,audio_features,spotify:track:6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/tracks/6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1,166560.0,4.0
,POP!,,,2022-06-24,0.859,0.356,96.986,0.795,AR,3lOMJTQTd6J34faYwASc33,NAYEON,2.0,-2.994,1.0,0.0542,0.0361,0.0,0.0321,audio_features,spotify:track:3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/tracks/3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/audio-analysis/3lOMJTQTd6J34faYwASc33,168107.0,4.0
,Poppin,,,2022-02-18,0.613,0.259,74.521,0.705,AR,3wn8nOygkHLUQ9dlXM1rKW,Yeat,7.0,-7.441,1.0,0.123,0.262,6.97e-06,0.198,audio_features,spotify:track:3wn8nOygkHLUQ9dlXM1rKW,https://api.spotify.com/v1/tracks/3wn8nOygkHLUQ9dlXM1rKW,https://api.spotify.com/v1/audio-analysis/3wn8nOygkHLUQ9dlXM1rKW,167187.0,4.0
,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",,,2013-01-01,0.228,0.548,88.714,0.711,AR,57Pk2GU0ABFYBbbcgYxqki,"Stephen Schwartz, Kristin Chenoweth, Stephen Oremus, Alex Lacamoire",0.0,-12.85,1.0,0.172,0.776,0.0,0.122,audio_features,spotify:track:57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/tracks/57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/audio-analysis/57Pk2GU0ABFYBbbcgYxqki,224387.0,4.0
,pop ur shit,,,2024-01-12,0.533,0.306,123.066,0.853,AR,47yD0e9MCRIB8dgUXPfyW3,"21 Savage, Young Thug, Metro Boomin",4.0,-6.647,1.0,0.126,0.263,0.00406,0.134,audio_features,spotify:track:47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/tracks/47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/audio-analysis/47yD0e9MCRIB8dgUXPfyW3,193320.0,4.0
,Dior,,,2019-07-26,0.805,0.649,142.096,0.548,AR,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,7.0,-5.732,1.0,0.351,0.212,0.000405,0.408,audio_features,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/audio-analysis/79s5XnCN4TJKTVMSmOx8Ep,216387.0,4.0
,POPTHATRUNK,,,2023-08-25,0.782,0.593,180.068,0.73,AR,4BLbZo3DCqQXMzogWV1GNP,"1nonly, Freddie Dredd",10.0,-3.884,0.0,0.05,0.0766,0.0338,0.106,audio_features,spotify:track:4BLbZo3DCqQXMzogWV1GNP,https://api.spotify.com/v1/tracks/4BLbZo3DCqQXMzogWV1GNP,https://api.spotify.com/v1/audio-analysis/4BLbZo3DCqQXMzogWV1GNP,133333.0,4.0
,Pop,,,2023-12-08,0.484,0.337,161.178,0.588,AR,26Fx8UbsC0BV4J1CdtuLAy,OsamaSon,8.0,-7.058,0.0,0.153,0.0219,0.0,0.156,audio_features,spotify:track:26Fx8UbsC0BV4J1CdtuLAy,https://api.spotify.com/v1/tracks/26Fx8UbsC0BV4J1CdtuLAy,https://api.spotify.com/v1/audio-analysis/26Fx8UbsC0BV4J1CdtuLAy,109430.0,4.0
,POPSTAR (feat. Drake),,,2020-07-17,0.56,0.45,163.071,0.8,AR,6EDO9iiTtwNv6waLwa1UUq,"DJ Khaled, Drake",5.0,-4.818,0.0,0.261,0.057,0.0,0.134,audio_features,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221.0,4.0
,Poppin' My Collar (feat. Project Pat),,,2006-06-20,0.795,0.856,146.747,0.729,AR,5zd9TgduWbfFXwgnm3K3Rz,"Three 6 Mafia, Project Pat",7.0,-4.579,1.0,0.144,0.354,0.0,0.536,audio_features,spotify:track:5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/tracks/5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/audio-analysis/5zd9TgduWbfFXwgnm3K3Rz,176880.0,4.0
,Poppin' Them Thangs,,,2003-01-01,0.818,0.918,88.017,0.769,AR,4E5IFAXCob6QqZaJMTw5YN,G-Unit,6.0,-1.385,0.0,0.192,0.263,0.0,0.0787,audio_features,spotify:track:4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/tracks/4E5IFAXCob6QqZaJMTw5YN,https://api.spotify.com/v1/audio-analysis/4E5IFAXCob6QqZaJMTw5YN,240800.0,4.0
,Pop like this Pt. 2 - Sped Up,,,2024-05-22,0.559,0.476,108.004,0.847,AR,0umAduzH6cuIMorxfeGtUN,prodbycpkshawn,1.0,-5.252,1.0,0.0498,0.000401,0.688,0.0913,audio_features,spotify:track:0umAduzH6cuIMorxfeGtUN,https://api.spotify.com/v1/tracks/0umAduzH6cuIMorxfeGtUN,https://api.spotify.com/v1/audio-analysis/0umAduzH6cuIMorxfeGtUN,92328.0,4.0
,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),,,2023-06-02,0.677,0.841,98.995,0.844,AR,67gUqq3wVAztSquOpNZ4Xs,"The Weeknd, Playboi Carti, Madonna",1.0,-6.216,1.0,0.158,0.0406,8.32e-05,0.407,audio_features,spotify:track:67gUqq3wVAztSquOpNZ4Xs,https://api.spotify.com/v1/tracks/67gUqq3wVAztSquOpNZ4Xs,https://api.spotify.com/v1/audio-analysis/67gUqq3wVAztSquOpNZ4Xs,215467.0,4.0
,Popular (with Playboi Carti & Madonna),,,2024-02-09,0.674,0.848,99.022,0.854,AR,7GUhiAHLoVy1V8ucQuZ3CB,"The Weeknd, Playboi Carti, Madonna",1.0,-6.23,1.0,0.184,0.0517,8.53e-05,0.509,audio_features,spotify:track:7GUhiAHLoVy1V8ucQuZ3CB,https://api.spotify.com/v1/tracks/7GUhiAHLoVy1V8ucQuZ3CB,https://api.spotify.com/v1/audio-analysis/7GUhiAHLoVy1V8ucQuZ3CB,215467.0,4.0
,Popular Song,,,2013-01-01,0.81,0.811,99.023,0.666,AR,6AviHKu3ydzAePBmzEi62v,"MIKA, Ariana Grande",8.0,-4.574,1.0,0.0458,0.152,0.0,0.0613,audio_features,spotify:track:6AviHKu3ydzAePBmzEi62v,https://api.spotify.com/v1/tracks/6AviHKu3ydzAePBmzEi62v,https://api.spotify.com/v1/audio-analysis/6AviHKu3ydzAePBmzEi62v,200213.0,4.0
,POP/STARS,,,2018-11-03,0.769,0.385,170.036,0.566,AR,5sbooPcNgIE22DwO0VNGUJ,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends",7.0,-4.342,1.0,0.0872,0.0183,0.0,0.108,audio_features,spotify:track:5sbooPcNgIE22DwO0VNGUJ,https://api.spotify.com/v1/tracks/5sbooPcNgIE22DwO0VNGUJ,https://api.spotify.com/v1/audio-analysis/5sbooPcNgIE22DwO0VNGUJ,191100.0,4.0
,"Pop, Lock & Drop It",,,2006-09-19,0.568,0.493,144.141,0.745,AR,19UUPNx5jccGgQ2GCIZkww,Huey,0.0,-8.332,1.0,0.164,0.000756,0.0,0.159,audio_features,spotify:track:19UUPNx5jccGgQ2GCIZkww,https://api.spotify.com/v1/tracks/19UUPNx5jccGgQ2GCIZkww,https://api.spotify.com/v1/audio-analysis/19UUPNx5jccGgQ2GCIZkww,263240.0,4.0
,Pop That,,,2013-01-01,0.892,0.605,138.031,0.734,CA,3Jv1XgMPVjdN5xGfnRJ20s,"French Montana, Rick Ross, Drake, Lil Wayne",2.0,-1.856,1.0,0.125,0.0648,0.0,0.58,audio_features,spotify:track:3Jv1XgMPVjdN5xGfnRJ20s,https://api.spotify.com/v1/tracks/3Jv1XgMPVjdN5xGfnRJ20s,https://api.spotify.com/v1/audio-analysis/3Jv1XgMPVjdN5xGfnRJ20s,303533.0,4.0
,Pope Is a Rockstar,,,2016-04-20,0.446,0.311,90.024,0.725,AR,0So2sgVa8aJiARPl2P29u2,SALES,4.0,-8.958,0.0,0.0287,0.85,0.243,0.107,audio_features,spotify:track:0So2sgVa8aJiARPl2P29u2,https://api.spotify.com/v1/tracks/0So2sgVa8aJiARPl2P29u2,https://api.spotify.com/v1/audio-analysis/0So2sgVa8aJiARPl2P29u2,187333.0,4.0
,Welcome To The Party,,,2019-07-26,0.724,0.237,143.024,0.63,AR,0fIffclhgJC5h8AdMMVvkp,Pop Smoke,2.0,-5.543,1.0,0.105,0.0138,6.92e-05,0.196,audio_features,spotify:track:0fIffclhgJC5h8AdMMVvkp,https://api.spotify.com/v1/tracks/0fIffclhgJC5h8AdMMVvkp,https://api.spotify.com/v1/audio-analysis/0fIffclhgJC5h8AdMMVvkp,214960.0,4.0
,Popular Loner,,,2019-06-14,0.62,0.773,159.893,0.684,AR,1EG6y4KL5c0T5UAT41d7VH,Rod Wave,10.0,-9.029,1.0,0.188,0.0541,0.0,0.142,audio_features,spotify:track:1EG6y4KL5c0T5UAT41d7VH,https://api.spotify.com/v1/tracks/1EG6y4KL5c0T5UAT41d7VH,https://api.spotify.com/v1/audio-analysis/1EG6y4KL5c0T5UAT41d7VH,156813.0,4.0
,Got It On Me,,,2020-07-03,0.647,0.195,88.834,0.688,AR,25zlnOAzbVoOzIeXSvQFf1,Pop Smoke,2.0,-7.258,1.0,0.19,0.00815,1.65e-05,0.095,audio_features,spotify:track:25zlnOAzbVoOzIeXSvQFf1,https://api.spotify.com/v1/tracks/25zlnOAzbVoOzIeXSvQFf1,https://api.spotify.com/v1/audio-analysis/25zlnOAzbVoOzIeXSvQFf1,164580.0,4.0
,Pop Star,,,2022-11-04,0.67,0.938,128.046,0.891,AR,0widrZ6KVNuIPhbM1rWPDR,Coco & Clair Clair,0.0,-7.256,1.0,0.135,0.203,0.00273,0.11,audio_features,spotify:track:0widrZ6KVNuIPhbM1rWPDR,https://api.spotify.com/v1/tracks/0widrZ6KVNuIPhbM1rWPDR,https://api.spotify.com/v1/audio-analysis/0widrZ6KVNuIPhbM1rWPDR,184222.0,4.0
,Pop Star,,,2020-12-18,0.67,0.938,128.046,0.891,AR,3cIjeDpRUFiKU5tDXEY7Aw,Coco & Clair Clair,0.0,-7.256,1.0,0.135,0.203,0.00273,0.11,audio_features,spotify:track:3cIjeDpRUFiKU5tDXEY7Aw,https://api.spotify.com/v1/tracks/3cIjeDpRUFiKU5tDXEY7Aw,https://api.spotify.com/v1/audio-analysis/3cIjeDpRUFiKU5tDXEY7Aw,184222.0,4.0
,Mood Swings (feat. Lil Tjay),,,2020-07-03,0.602,0.269,179.798,0.48,AR,5rZlwNFl01HqLWBQGryKSm,"Pop Smoke, Lil Tjay",10.0,-6.335,0.0,0.368,0.487,0.0,0.0848,audio_features,spotify:track:5rZlwNFl01HqLWBQGryKSm,https://api.spotify.com/v1/tracks/5rZlwNFl01HqLWBQGryKSm,https://api.spotify.com/v1/audio-analysis/5rZlwNFl01HqLWBQGryKSm,213333.0,4.0
,Pop Out,,,2021-12-24,0.715,0.443,135.98,0.831,AR,6mSJEqkgiBMtqZSXSMvb4s,Big Boogie,10.0,-5.121,0.0,0.251,0.0354,0.0,0.273,audio_features,spotify:track:6mSJEqkgiBMtqZSXSMvb4s,https://api.spotify.com/v1/tracks/6mSJEqkgiBMtqZSXSMvb4s,https://api.spotify.com/v1/audio-analysis/6mSJEqkgiBMtqZSXSMvb4s,200750.0,4.0
,Pop Out (feat. Nardo Wick),,,2022-10-14,0.558,0.346,158.881,0.464,AR,0VOMBffX1llDu37yQUt3u3,"Lil Baby, Nardo Wick",1.0,-6.973,1.0,0.289,0.00275,0.000275,0.223,audio_features,spotify:track:0VOMBffX1llDu37yQUt3u3,https://api.spotify.com/v1/tracks/0VOMBffX1llDu37yQUt3u3,https://api.spotify.com/v1/audio-analysis/0VOMBffX1llDu37yQUt3u3,195197.0,4.0
,For The Night (feat. Lil Baby & DaBaby),,,2020-07-03,0.586,0.347,125.971,0.823,AR,0PvFJmanyNQMseIFrU708S,"Pop Smoke, Lil Baby, DaBaby",6.0,-6.606,0.0,0.2,0.114,0.0,0.193,audio_features,spotify:track:0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/tracks/0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/audio-analysis/0PvFJmanyNQMseIFrU708S,190476.0,4.0
